text,label
"""The money the Clinton Foundation took from from foreign governments while Hillary Clinton was secretary of state """"is clearly illegal. … The Constitution says you can’t take this stuff.""",1
Annual Mammograms May Have More False-Positives,1
SBRT Offers Prostate Cancer Patients High Cancer Control and Low Toxicity in Fewer Treatments,1
"Study: Vaccine for Breast, Ovarian Cancer Has Potential",0
Some appendicitis cases may not require ’emergency’ surgery,0
Britain to reveal trial criteria for coronavirus antibody tests.,0
Angioplasty through the wrist backed by new study,0
U.S. says results encouraging for healthcare delivery reforms.,0
Latest trial in J&J talc litigations gets under way in California.,0
Poor test results for heart drugs,1
"Opossums kill thousands of ticks each week, inhibiting the spread of Lyme Disease to humans.",0
Democrats hoping to flip House not just trash-talking Trump.,0
"Hoodies riddled with faux bullet holes bearing the names of schools involved in massacres (including Columbine, Sandy Hook, and Marjory Stoneman Douglas) are available for purchase.",1
Cancer Activist Sounds Alarm For Early Testing For Genetic Marker,1
"At the end of 2016, there were 23 percent fewer federal prosecutions than in 2011, so (prosecutors) looked at this scourge (opioid deaths) and they let it go by.",1
The train carrying GOP members of Congress to a West Virginia retreat crashed due to a Deep State plot.,1
Sex tech from women-led startups pops up at CES gadget show.,0
Waxed apples cause cancer.,1
Viral image Says BBC prematurely reported “Ghislaine Maxwell moved to intensive care as coronavirus symptoms worsen.”,1
John Faso took money from fossil fuel companies as they tried to take your land by eminent domain for a fracked gas pipeline.,1
Officials alert health care providers of HIV surge.,0
The United States Secret Service arrested Alec Baldwin for threatening President Donald Trump at the 2017 Emmy Awards.,1
Hillary Clinton is (or was) a member of Monsanto's board of directors.,1
"Rhode Island will become just the second state to mandate the vaccine … and the only state to do so by regulatory fiat, without public debate, and without consideration from the elected representatives of the people.",1
"I’ll never go through shoulder surgery again, so here’s what I did",1
"CostCo stores will require shoppers to wear masks beginning on May 4, 2020.",0
Brazil cities lurch to lockdowns amid virus crisis red flags.,0
Laser Used to Blast Away Cells Causing Irregular Heartbeat,1
Slovakia's new government to sharply ramp up coronavirus testing.,0
The coronavirus is “simply the common cold.”,1
Encouraging news about reversing heart disease,1
Microwave ovens were banned in the USSR in 1976 to protect its citizens from harmful health effects.,1
"Jimi Hendrix, Jim Morrison, Janis Joplin, and Kurt Cobain all died with white Bic lighters in their pockets.",1
Schools in Austin Independent School District are teaching children as young as 4 years old that their gender is fluid – that they’re not a boy or a girl and they can choose whichever gender they want.,1
Spiriva as good as Serevent in asthma study,1
Massachusetts to help test addiction treatment rating system.,0
 Secretary of State John Kerry’s daughter married an Iranian man with connections to an Iranian foreign minister who participated in nuclear negotiations. ,1
U.N. urged by own staff to look at its climate footprint.,0
ALS patient behind ice bucket challenge: I will bounce back.,0
State Senate leader outlines agenda as lawmakers sworn in.,0
Menopause: A flash of concern,1
"""Sen. Elizabeth Warren once said: """"Having an abortion is no different than someone having their tonsils removed.""",1
Instagram posts Says no one has died from the coronavirus in the United States.,1
"""Rick Scott's Starbucks heckler Says Rick Scott """"cut Medicaid"""" so people can't """"get Obamacare.""",1
"Italy is hit hard, experts say, only because they have the oldest population in Europe.",0
'Enemy of mankind': Coronavirus deaths top SARS as China returns to work.,0
Some of the safest communities in the United States are along the border.,0
Holiday fitness gifts trend from high-tech to basic.,0
 The message claims that the singer Shakira was a guest on MTV and during a segment of live telephone calls refused to speak to an Israeli caller.  She is quoted as having said that she’d rather have pigs listening to her music than Israelis.  The eRumor encourages a boycott of Shakira’s music.   ,1
"""Secretary of State John Kerry """"funneled"""" taxpayer money into his daughter's global charity.""",1
An audio message lists five ways people can prevent the novel coronavirus.,1
Mass virus test in nursing home seeks to combat loneliness.,0
Dwayne Bohac Says the Annie's List political group supports third-trimester abortions on demand.,1
Experiments test if implant can block sleep apnea,1
"Tokyo reports 143 new coronavirus cases, highest jump in one day: governor.",0
"""The gun industry is """"the only business in America that is wholly protected from any kind of liability.""",1
A captive panda deliberately faked symptoms of pregnancy in order to obtain special treatment from her keepers. ,1
Judge won’t end decades-old Everglades cleanup oversight.,0
"A Washington, DC clergyman tested positive for COVID-19, potentially exposing congregants.",0
"""Dan Patrick Says Texas tax legislation would """"save the average homeowner in Texas $20,000 a year over the next 20 years or so.""",1
"No more menthol cigarettes: New ban on tobacco, vape flavors.",0
Indonesian villagers performed a rite that brought a dead woman back to life after three years in the grave.,1
"""Medicaid expansion """"could cost the Commonwealth of Virginia over $1 billion a year...""",1
"As wildfires grow deadlier, officials search for solutions.",0
"""Some doctors say Ebola can be transmitted through the air by """"a sneeze or some cough.""",1
The number of people in Atlanta dying from HIV and AIDS declined 59 percent between 2004 and 2012.,0
"Stem cells can be harvested from baby teeth, so it's a good idea to preserve them in private stem cell banks for future use in medical treatments.",1
Bioweapon! Zika virus is being spread by GMO mosquitos (sic),1
"""Freedom Partners Says Bruce Braley took """"tens of thousands from his friends in the health insurance industry"""" and gave them """"special favors"""" by voting for Obamacare.""",1
"Shaving makes your hair grow back in thicker, faster, and fuller.",1
Arkansas election office may move due to high mold levels.,0
"Britain confirms bird flu case in Lancashire, to cull infected poultry.",0
"""If Florida expanded Medicaid, """"some studies indicate it would create about 120,000 jobs.""",1
£1.8 billion of ‘new money’ has been announced for the NHS over the next five years.,1
"Increasing the international health surcharge to £625 and extending it to all foreign workers, including EU migrants after Brexit, will raise over £500 million a year.",1
Britain loses case to delay submission of air pollution plan.,0
"You see a whole bunch of Korean cars here in the United States, and you don't see any American cars in Korea.",0
Tai Chi Reported to Ease Fibromyalgia,0
FDA approves AbioCor heart,1
New treatment offers some hope for an unshakable tremor,0
FDA Approves Roche’s Cotellic Treatment for Melanoma,1
"""FDA-approved """"synthetic marijuana"""" leads to deaths in Illinois.""",1
Sen. David Perdue advised attendees to offer up an ominous prayer aimed at President Obama during the 2016 Faith & Freedom Coalition’s Road to Majority conference.,0
"This is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.",1
Fermented dairy products may protect against heart attack,1
"UK calls for 250,000 volunteers as virus deaths surge.",0
FDA approves first inhalable version of insulin,0
Iran's thirsty energy industry runs up against water shortage.,0
Tamiflu is responsible for the increased number of deaths this flu season.,1
"""The Obama administration issued an """"11th-hour rule that entrenches federal family planning funding for Planned Parenthood.""",0
Plague confirmed in prairie dogs in Commerce City.,0
Indonesia reports biggest jump in coronavirus deaths as Malaysia trend improves.,0
Facebook post Says Michigan COVID-19 order bans gardening and the sale of vegetable seeds and fruit.,1
"""Greg Walden Says the federal stimulus program was ineffective because """"the number of jobs has actually decreased by 18,300 through July 2011.""",1
"Rules for reopening hotels, gyms, attractions taking shape.",0
The Greenest County in America.,1
"New California laws help animals, fire victims, immigrants.",0
Ten percent of violent deaths in the U.S. each year are due to strangulation.,1
Quarantine is when you restrict the movement of sick people.,1
"""Hot mic"""" video from a White House coronavirus briefing revealed a far lower """"real"""" case-fatality rate, as well as the existence of a vaccine provided to the government and the press corps (but not you.)""",1
"""Chain email Says """"At age 76 when you most need it, you are not eligible for cancer treatment"""" under Affordable Care Act.""",1
"“As soon as I endorsed (Supreme Court Justice Daniel Kelly), the Wisconsin Democrats said, let’s move the election to two months later.”",1
New Heart Imaging Method May Predict Heart Attack,1
